*PARAM,GUID,NAME,DATATYPE,DATACATEGORY,GROUP,VISIBLE,DESCRIPTION,USERMODIFIABLE,HIDEWHENNOVALUE
PARAM,6bb6ed01-3f30-4102-9d9b-705b47eba3ee,Backfill Volume Subtraction,VOLUME,,1,1,,1,0
PARAM,0e6b2102-96ef-409e-ac88-3537cf269147,Column EAT for QTO,NUMBER,,1,1,,1,0
PARAM,7a82a605-c788-4000-a4cd-7f970f88c56a,MSTaskActualEndDate,TEXT,,1,1,,1,0
PARAM,c334b908-a1ef-41f1-a9a3-78022926977b,HostID1,INTEGER,,1,1,,1,0
PARAM,f5d15109-b09f-416a-ada3-9911bdfcdbbc,BaseOutlinePointsXdata,TEXT,,1,1,,1,0
PARAM,7f80820a-e9fb-46f1-b9f9-f5365a2bd1a0,#Volume,TEXT,,1,1,Master Scheduel Task Plan End Date dd/mm/yyyy,1,0
PARAM,ac194f10-2a7d-4c5b-a9d0-8adc451cede3,ExcavationTaluyAngleToX,ANGLE,,1,1,,1,0
PARAM,e4b76d10-8f43-4554-ae8d-f87dfc745484,_DataSheet_Path,TEXT,,1,1,Example:&#xD&#xA.\BIMData.xlsx &#xD&#xAor&#xD&#xA..\BIMData.xlsx,1,0
PARAM,3a59bb11-8005-410a-b949-1458cdaeec11,Back Fill Volume,VOLUME,,1,1,,0,0
PARAM,81ce2312-b4e8-41f5-9be3-bd4eea24038a,#FormworkArea,TEXT,,1,1,,1,0
PARAM,7555da12-9d86-4e59-9247-1e625906d95b,FunctionLocation,TEXT,,1,1,#BuildingComponent Thickness,1,0
PARAM,4fc41017-6ab3-453d-9960-6c2cdd9c5d3b,AreaTOESImpactmentMerged,AREA,,1,1,,1,0
PARAM,9b908418-ffa1-443e-b93c-f901275e4879,Actual Start Date,TEXT,,1,1,Ms project Master Schedule Task (MST) Name,1,0
PARAM,c388b619-7dfa-4347-9e39-9d886dbcfecb,VolumeBackfillSoil,VOLUME,,1,1,,1,0
PARAM,1edbfb1b-65d7-46c1-bec0-375c0356ceba,Length,LENGTH,,1,1,,1,0
PARAM,665bcc1d-5d64-44ce-9e76-e220c9ed7d89,Intersect with collumn,VOLUME,,1,1,,1,0
PARAM,e127991e-b104-47fe-b314-4b83786639d3,TypeHeight,LENGTH,,1,1,,1,0
PARAM,536e0c20-7afd-4033-94ef-f8b3eba3c308,#Discipline,TEXT,,1,1,,1,0
PARAM,e8aea221-8fe2-4b15-8854-12ce8b3971c9,Foundation-Type,TEXT,,1,1,,1,0
PARAM,449eec21-fa5c-49ee-9b0b-17c4346e5d3f,Wall Brick Segment Height,LENGTH,,1,1,,1,0
PARAM,9d95cb22-e82a-4bd1-a502-a8be1e4b7166,TypeThickness,LENGTH,,1,1,,0,0
PARAM,b5030c23-8023-4c65-afa5-f79f156ff0cc,TypeProfileWidth,LENGTH,,1,1,,1,0
PARAM,7335ce23-b56a-4c49-b600-46365ae8eb6d,TypeProfileHeight,LENGTH,,1,1,,1,0
PARAM,48690124-59cf-415b-a4dd-e0eec9e1b456,Floor Type,TEXT,,1,1,,1,0
PARAM,7b7e0e24-404c-443d-a090-f79878ee2cc1,BaseOutlinePointsYdata,TEXT,,1,1,,0,0
PARAM,88e15126-a26f-4678-af97-a951dd4bdb6e,Fiter,LENGTH,,1,1,,1,0
PARAM,53db9e28-a0b6-4f6f-b07a-4579b5b31041,#Width,TEXT,,1,1,14- 20 days,1,0
PARAM,ce1fa22a-f2d9-45bf-9d5c-5933a1c5a17c,PIC,TEXT,,1,1,#Zone,1,0
PARAM,be96c52f-862f-4a44-bb14-9a9e2beb8edc,AreaBOFImpactmentPrimitive,AREA,,1,1,Master Scheduel Task Percentage Complete (%),1,0
PARAM,5f4a9d30-8cb5-42d7-9d45-3af60b7ec23f,TypeVolumeLeanConcrete,VOLUME,,1,1,#Level,1,0
PARAM,13caed30-b5a3-4236-873b-c61b3e52765c,#BuildingComponentType,TEXT,,1,1,Person In Charged,1,0
PARAM,35f67f31-8d24-4061-a419-9eafb20374ef,Planned Duration,NUMBER,,1,1,#Building,1,0
PARAM,7edbe531-558d-4cc9-88c6-3957669ce21a,Compact top,AREA,,1,1,,1,0
PARAM,54c2bf33-2601-4055-a6a3-7432c937396e,Footing Level,LENGTH,,1,1,,1,0
PARAM,01c5ec38-b58c-486f-accb-dd971ebdae3d,Stair Nosing Length,LENGTH,,1,1,#BuildingComponent Length,1,0
PARAM,d1e92839-8689-4f46-86e7-dcf7cb9068db,AreaBOFImpactmentMerged,AREA,,1,1,,1,0
PARAM,0837a439-67cd-4738-a1ce-89aab35c4e62,TrackingHostID1,INTEGER,,1,1,,1,0
PARAM,723d333b-0947-4b6b-8afd-9c84708d67c9,AreaFormworkLeanConcrete,AREA,,1,1,,1,0
PARAM,3c06ce3e-1d30-4802-a752-76ed29d8905d,Length1,LENGTH,,1,1,,1,0
PARAM,90ca9346-4c90-4ca2-ae8e-1248a6515251,Code_HangMuc,TEXT,,1,1,,1,0
PARAM,b622ae46-7e03-4ff9-ac12-a647fa723279,AreaFormwork,AREA,,1,1,,1,0
PARAM,c408ec47-95d2-42b5-ba99-78d77c3b67a7,Column,NUMBER,,1,1,,1,0
PARAM,81573248-c5c4-4383-9710-e9556818ceb0,Wall-Type,TEXT,,1,1,,1,0
PARAM,8871414a-9756-4f67-9ed0-4ce3e6d0e9d0,Volume,VOLUME,,1,1,,1,0
PARAM,d841c14f-667c-40a4-ba27-dc55c32c7ad9,Actual Duration,NUMBER,,1,1,,1,0
PARAM,dd241950-7364-4e2f-bb60-c0a9a8c84b50,VolumeConcrete,VOLUME,,1,1,,1,0
PARAM,a3a12a51-57c5-40cc-bef2-190f01d5e3d9,NAVIS,TEXT,,1,1,,1,0
PARAM,2dc10058-aec6-4405-a64a-ea2c7b591eed,Wall Brick Kicker Height,LENGTH,,1,1,,1,0
PARAM,de45e559-a23f-449e-b4ee-65bee20a30b8,Work Item Description,MULTILINETEXT,,1,1,,1,0
PARAM,a296b95d-fdac-46fd-a94c-d08ef5794290,Actual End Date,TEXT,,1,1,Non Comfortable Report numbers,1,0
PARAM,eaad6d5e-69ce-4916-8b02-8687fd8765e6,B,LENGTH,,1,1,,1,0
PARAM,57f4025f-98e8-4fac-8290-c75bf261f5fa,#Thickness,TEXT,,1,1,Master Scheduel Task Plan Duration,1,0
PARAM,a4db3061-3b97-49e5-a445-318c202df9ff,BaseOutLinePointsData,TEXT,,1,1,,1,0
PARAM,25e56562-f0a5-491b-ab49-d9b786cb57c8,#Project,TEXT,,1,1,Master Scheduel Task Actual Duration,1,0
PARAM,90a1b964-fb34-4986-8ca0-e776b13c0940,Work L1,TEXT,,1,1,,1,0
PARAM,f00c2065-7b47-4ab4-9646-4aa48b16d369,Code_CauKien,TEXT,,1,1,#Discipline,1,0
PARAM,10274166-2b6c-47fc-80cb-1de74d35441e,Wall ?i?u ch?nh,NUMBER,,1,1,,1,0
PARAM,5f85f767-2690-44d6-a2e4-d853894d2499,QTO Notes,TEXT,,1,1,#BuildingComponent Material,1,0
PARAM,17000068-a488-443e-8594-db045486ab08,Pakage,TEXT,,1,1,,1,0
PARAM,903cc06c-b75a-48b3-8a78-4882f65c06c4,Intersect with other things,VOLUME,,1,1,,1,0
PARAM,d168206f-bf0b-467e-a556-00d7c71a33a4,AreaWallPlaster,AREA,,1,1,,1,0
PARAM,c0206370-1f6d-4b93-be99-9c9d5897eb49,RoomName,TEXT,,1,1,,1,0
PARAM,ddf63073-7b52-4321-a6ec-bccea99ca4f9,MSTaskPlanStartDate,TEXT,,1,1,,1,0
PARAM,60bfc373-03ac-41be-9f7b-25f8bb00d42a,Level,LENGTH,,1,1,,1,0
PARAM,bacc6e75-0ed1-490c-991f-ccfb9be70edf,MSTaskActualStartDate,TEXT,,1,1,,1,0
PARAM,f4853776-23d2-4e94-9c52-581295a8bace,DW Type,TEXT,,1,1,,1,0
PARAM,c0599e7b-2e14-4ffb-aa16-9fbacfe78994,Column-Type,TEXT,,1,1,#BuildingComponent Width,1,0
PARAM,c8177c7e-6c0b-4cc8-bc1d-800b1f7d6c3f,Room DW Area,AREA,,1,1,,1,0
PARAM,beff4d7f-ddae-40cb-b7fb-d589e5a2135c,TypeWidth,LENGTH,,1,1,,1,0
PARAM,cbc66b7f-3b93-4af0-92ca-dcd2adbe779a,Embankment Subtracted Volume,VOLUME,,1,1,,1,0
PARAM,f1cc9d7f-65e1-42f8-87cd-c1605097af76,Intersect with beam,VOLUME,,1,1,,1,0
PARAM,68352382-09b7-4452-9afb-760d55702128,TypeVolumeConcrete,VOLUME,,1,1,,0,0
PARAM,3c888b82-3ee7-457e-b422-1e3f907b88b6,FormWork Area,AREA,,1,1,,1,0
PARAM,695cea82-3db2-4121-b8b9-57c5f9242be2,MSTaskActualDuration,NUMBER,,1,1,,1,0
PARAM,d3510b87-a60f-4f5e-ac40-4f579f3d571f,Column EAB,NUMBER,,1,1,,1,0
PARAM,3ca34e88-03ef-43ac-9964-e562feb34a45,Type Thickness,LENGTH,,1,1,#BuildingComponent Area,1,0
PARAM,057f1689-3b69-4dd4-b926-58c9b7379b59,MSTaskPlanDuration,NUMBER,,1,1,,1,0
PARAM,26648e89-4234-4f04-b187-f51cbc4b5e48,Room Waterproof,TEXT,,1,1,,1,0
PARAM,49c62e8c-fd26-4fbf-85a4-95a4a6d42af2,#Zone,TEXT,,1,1,Zone,1,0
PARAM,2abe1d8d-0e5b-4599-a4b9-7e3af3c19a9c,#Grid,TEXT,,1,1,(Multi text) Work Item Description,1,0
PARAM,dff4d791-e829-4169-8249-6d181438ffbb,#Building,TEXT,,1,1,,1,0
PARAM,93af0595-f5e5-42d3-9db7-54f7bb6f8d54,Slab-Type,TEXT,,1,1,,1,0
PARAM,36ffaf9a-79db-444f-a08c-fc0c5f74da81,Column H for QTO,NUMBER,,1,1,,1,0
PARAM,e81869a1-c04c-433e-b7ae-8e618ad7404e,Floor DW Lenght,LENGTH,,1,1,,1,0
PARAM,0f6082a4-a1f0-44ba-a265-2b33e5152547,#Material,TEXT,,1,1,Master Scheduel Task Plan Start Date dd/mm/yyyy,1,0
PARAM,29aa21a6-0960-4179-8f3f-e2bf192a4e61,Code_MuaHang,TEXT,,1,1,,1,0
PARAM,39fac0a7-1b97-4100-88e8-dabde56ed457,QTO Filter,TEXT,,1,1,,1,0
PARAM,062395a9-0cde-40cc-bec2-cf34d6631ad8,Stair-Type,TEXT,,1,1,,1,0
PARAM,d4af8baa-c6eb-4347-b4db-375c6fdad6dc,Code_MaThietKe,TEXT,,1,1,,1,0
PARAM,4ce773ab-2762-4bb5-a3a6-f93f9a361ddb,#Length,TEXT,,1,1,,1,0
PARAM,970e80ab-f27e-4191-8359-37dae950fc4e,H,LENGTH,,1,1,#Project,1,0
PARAM,4294c9ac-f711-4bee-8f46-fa00dc4c765d,Height,LENGTH,,1,1,,1,0
PARAM,2ee1ffaf-11e7-4382-ac1a-3ad52b7655dc,#Area,TEXT,,1,1,Master Scheduel Task Actual End Date dd/mm/yyyy,1,0
PARAM,7aa6fbb0-18d4-4761-9456-66f1b8aa5822,MSTaskPlanEndDate,TEXT,,1,1,,0,0
PARAM,a5b0a6b1-da28-473c-a103-d87d14c8635a,DW Width,LENGTH,,1,1,,1,0
PARAM,9df7beb4-74bb-4d17-bfd8-523b91ece5f7,Code_Tang,TEXT,,1,1,,1,0
PARAM,9e12eab5-f4b3-4f12-ad71-b3b4bdc32568,Work L2,TEXT,,1,1,,1,0
PARAM,bcf988b7-9a07-49ef-ab46-cecd0d726785,AreaTOESImpactmentPrimitive,AREA,,1,1,,1,0
PARAM,f09627be-64db-45ca-81e6-4399b8246a5e,TypeLength,LENGTH,,1,1,,1,0
PARAM,c69bf2c0-8507-4fd0-bf33-d2e9df00de24,AreaWallTile,AREA,,1,1,#BuildingComponent Volume,1,0
PARAM,901315c1-1f04-4be6-bde3-37653218d218,PileType,TEXT,,1,1,#Grid,1,0
PARAM,3d02dec2-368c-4f88-b3ff-2f8552bad205,Compact bottom,AREA,,1,1,,1,0
PARAM,715345c5-9326-4686-952e-839196989426,Intersect with Foundation,VOLUME,,1,1,,0,0
PARAM,5a82cac5-9908-42e2-9d20-09f98be13a9d,#Level,TEXT,,1,1,Work package name,1,0
PARAM,45e9d7c5-b7be-469c-bc80-0ed904dc3aff,Backfill Volume Raw,VOLUME,,1,1,,1,0
PARAM,a259ccc6-98c2-45ef-a960-b25098dde809,Backfill Volume NET,VOLUME,,1,1,#BuildingComponent FormworkArea,1,0
PARAM,468013c8-0c15-4ce6-8890-4652f4a00317,Work L3,TEXT,,1,1,,1,0
PARAM,83ffe6c8-f5b4-4e53-af55-5fe5f9f87726,Floor Waterproofing,TEXT,,1,1,,0,0
PARAM,7f1967c9-d376-4408-a382-927062dcdba4,Planned End Date,TEXT,,1,1,,1,0
PARAM,771504ca-d100-44bb-a697-5a8534417577,FwThickness,LENGTH,,1,1,,1,0
PARAM,bf7d77cb-7d2c-4c6f-9fac-6284c535fee8,TypeAreaFormwork,AREA,,1,1,,1,0
PARAM,53421bcc-edff-45c1-8cd6-94c5bf69de4d,wall,NUMBER,,1,1,,1,0
PARAM,97dff7ce-1243-49d4-8916-6879523ae58b,TypeAreaFormworkLeanConcrete,AREA,,1,1,,1,0
PARAM,f61f5ad4-e44c-4a7a-875f-d2f68b1ee942,Framing-Type,TEXT,,1,1,,1,0
PARAM,e0596ad5-3b82-46e0-b566-361ce0663342,Building Item #,TEXT,,1,1,,1,0
PARAM,be7c98d8-94d6-4f21-a843-361bae748f65,#NCR,TEXT,,1,1,Master Scheduel Task Actual Start Date dd/mm/yyyy,1,0
PARAM,3e669fde-20dd-4324-89ba-24c6b2ae6ba8,Width,LENGTH,,1,1,,1,0
PARAM,61d0c7de-2cf1-450f-9084-830cd72e4874,VolumeExcavatedSoilPrimitive,VOLUME,,1,1,,1,0
PARAM,ceb8afe3-0dbc-4c8a-ad12-747749d9ce09,MSTaskName,TEXT,,1,1,,0,0
PARAM,59a522e6-6fc8-4099-91c2-4c1022433519,Filter Excavation,TEXT,,1,1,,1,0
PARAM,55d3fcec-9e06-4649-9f9e-25c5265dbd68,DW Sillheight,LENGTH,,1,1,,1,0
PARAM,e6dd1eee-43e9-4fcb-898a-7f64245e55a3,Embank NET Volume,VOLUME,,1,1,,1,0
PARAM,3df27bf0-715d-40c8-816a-9cd9ce2d1f0f,VolumeExcavatedSoilMerged,VOLUME,,1,1,,1,0
PARAM,ff2078f3-3c22-4004-a7d5-2ad401e5ceba,Zone,TEXT,,1,1,,1,0
PARAM,452dddf3-06f8-47a7-b2d2-0ff7e49f5d09,DW Number,TEXT,,1,1,,0,0
PARAM,0403a2f6-1c9a-4bfc-b394-400547034ecb,Work Item,TEXT,,1,1,,1,0
PARAM,324e47fb-902f-4027-a1ef-b645094a3742,MSTask%Complete,NUMBER,,1,1,,1,0
PARAM,ba4795fc-b189-4420-b292-b6c04c032a36,Planned Start Date,TEXT,,1,1,,1,0
PARAM,3fc56dfd-7e90-428a-81c4-e1c6bd7aeef3,Wall Kicker Height,LENGTH,,1,1,,0,0
PARAM,174684fe-e4c8-4375-8435-b1bf85f0156e,VolumeLeanConcrete,VOLUME,,1,1,,1,0
PARAM,a7c8b2ff-7762-4280-af51-3246998b299c,DW Height,LENGTH,,1,1,#BuildingComponentType,1,0
,,,,,,,,,
PARAM,2B0BBC31-4CFD-9344-B924-C9007B5DDDB9,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,17EA8122-7027-844C-948C-FC73FEACAD8E,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,32EA34D5-ED0E-DB45-A6E9-3A0E9026828B,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,081E3567-C177-C040-92EE-BE322CF9F783,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,F92BBA22-96D0-FC48-9AFA-F2E29305196E,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,63305802-CFA7-1548-B17A-1FB420B7A48E,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,B8CB4917-2572-884C-8F25-00D9EA279BD6,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,66E5B24D-5DF0-1948-8C49-4D9894149F8A,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,1A34CA7F-0832-A340-8436-330A56AACB23,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,4C7BF893-699B-2E4C-B961-D75AF1C4C762,#REF!,LENGTH,,1,1,#REF!,1,0
PARAM,5F28186D-D6D0-8149-B48E-D52C7BF0F296,#REF!,LENGTH,,1,1,#REF!,1,0
PARAM,8E44BC95-1AAE-5E49-83D7-321982678F6B,#REF!,LENGTH,,1,1,#REF!,1,0
PARAM,0F3EDDD1-8228-3E4A-B452-BD28FFC6B5FA,#REF!,LENGTH,,1,1,#REF!,1,0
PARAM,F5DF9DC2-AF64-A94C-84E0-2FFCAD1F8B26,#REF!,LENGTH,,1,1,#REF!,1,0
PARAM,C4F70361-B764-EA47-93FF-8D538633DAAC,#REF!,AREA,,1,1,#REF!,1,0
PARAM,916146D5-C142-174A-8722-06AB7F1A7C7C,#REF!,VOLUME,,1,1,#REF!,1,0
PARAM,460D7BE4-6A7E-AD45-B5EC-4F4786C82E37,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,87BC878B-9902-D245-9714-B56F427DB326,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,4F657F08-0F60-E54C-8205-1EC3CC8E5239,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,5496D208-745E-2D41-8A2E-D708AC02DDBD,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,1FE95033-4DA8-C244-B213-8BCE537D1222,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,41411245-E640-A04B-A6D2-624365DFD2CE,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,47D923E3-8ACD-6A44-80AC-ECC99362DA8A,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,B0EF9085-DD2C-ED4B-8CFE-EA5693117C0F,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,8E35302F-EE20-E041-9C81-20D83ED27E2B,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,219F0482-45A3-D74C-A047-6432D7FDC443,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,793313AD-8C7A-E542-A67B-EAE8418CB71F,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,A1CC1FA6-7039-0941-B9D0-E4542DFAEAB8,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,ADF404C5-9DC2-9C40-8BD4-7CB1FCB6E603,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,C9034AE3-6C01-1845-B31A-A6E12967B4A2,#REF!,TEXT,,1,1,#REF!,1,0
PARAM,5F8B3D23-60FE-8C40-B5CA-A5741E333416,#REF!,TEXT,,1,1,#REF!,1,0
